date,time,park,ride,wait
03/05/2022,10:25,hollywood-studios,Star Wars: Rise of the Resistance,135.0
03/05/2022,10:25,hollywood-studios,Toy Story Mania!,55.0
03/05/2022,10:25,hollywood-studios,The Twilight Zone Tower of Terror,70.0
03/05/2022,10:25,animal-kingdom,Avatar Flight of Passage,65.0
03/05/2022,10:25,animal-kingdom,DINOSAUR,35.0
03/05/2022,10:25,animal-kingdom,Expedition Everest,
03/05/2022,10:25,animal-kingdom,It's Tough to be a Bug!,15.0
03/05/2022,10:25,animal-kingdom,Kali River Rapids,15.0
03/05/2022,10:25,animal-kingdom,Kilimanjaro Safaris,95.0
03/05/2022,10:25,animal-kingdom,Na'vi River Journey,90.0
03/05/2022,10:25,animal-kingdom,TriceraTop Spin,10.0
03/05/2022,10:30,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:30,magic-kingdom,The Barnstormer,15.0
03/05/2022,10:30,magic-kingdom,Big Thunder Mountain Railroad,75.0
03/05/2022,10:30,magic-kingdom,Buzz Lightyear's Space Ranger Spin,20.0
03/05/2022,10:30,magic-kingdom,Dumbo the Flying Elephant,25.0
03/05/2022,10:30,magic-kingdom,Haunted Mansion,60.0
03/05/2022,10:30,magic-kingdom,"""it's a small world""",40.0
03/05/2022,10:30,magic-kingdom,Jungle Cruise,85.0
03/05/2022,10:30,magic-kingdom,Mad Tea Party,5.0
03/05/2022,10:30,magic-kingdom,The Magic Carpets of Aladdin,40.0
03/05/2022,10:30,magic-kingdom,The Many Adventures of Winnie the Pooh,30.0
03/05/2022,10:30,magic-kingdom,Mickey's PhilharMagic,5.0
03/05/2022,10:30,magic-kingdom,Monsters Inc. Laugh Floor,5.0
03/05/2022,10:30,magic-kingdom,Peter Pan's Flight,80.0
03/05/2022,10:30,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:30,magic-kingdom,Prince Charming Regal Carrousel,15.0
03/05/2022,10:30,magic-kingdom,Seven Dwarfs Mine Train,80.0
03/05/2022,10:30,magic-kingdom,Space Mountain,45.0
03/05/2022,10:30,magic-kingdom,Splash Mountain,
03/05/2022,10:30,magic-kingdom,Tomorrowland Speedway,15.0
03/05/2022,10:30,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:30,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,5.0
03/05/2022,10:30,epcot,Frozen Ever After,50.0
03/05/2022,10:30,epcot,Gran Fiesta Tour,5.0
03/05/2022,10:30,epcot,Journey Into Imagination With Figment,5.0
03/05/2022,10:30,epcot,Living with the Land,5.0
03/05/2022,10:30,epcot,Mission: SPACE,10.0
03/05/2022,10:30,epcot,Remy's Ratatouille Adventure,45.0
03/05/2022,10:30,epcot,The Seas with Nemo & Friends,5.0
03/05/2022,10:30,epcot,Soarin' Around the World,45.0
03/05/2022,10:30,epcot,Spaceship Earth,25.0
03/05/2022,10:30,epcot,Test Track,70.0
03/05/2022,10:30,hollywood-studios,Alien Swirling Saucers,40.0
